t (s),V (mV)
766.41,9.9798
767.41,9.9769
768.41,9.9731
769.41,9.9704
770.41,9.9668
771.41,9.9627
772.41,9.9587
773.41,9.9547
774.41,9.9512
775.41,9.9478
776.41,9.9441
777.41,9.9412
778.41,9.9371
779.41,9.9322
780.41,9.9305
781.41,9.9255
782.41,9.9226
783.41,9.9183
784.41,9.9148
785.41,9.9134
786.41,9.9092
787.41,9.906
788.41,9.9025
789.41,9.8996
790.41,9.8955
791.41,9.8915
792.41,9.8883
793.41,9.8822
794.41,9.8788
795.41,9.8771
796.411,9.8719
797.41,9.8692
798.41,9.8646
799.41,9.861
800.41,9.8575
801.41,9.8532
802.41,9.8497
803.41,9.8455
804.41,9.8428
805.41,9.8394
806.41,9.8367
807.41,9.8319
808.41,9.8293
809.41,9.8257
810.41,9.8219
811.41,9.8181
812.41,9.8147
813.41,9.8127
814.41,9.8091
815.41,9.8058
816.409,9.8013
817.41,9.7993
818.41,9.7963
819.41,9.7934
820.41,9.7896
821.41,9.7865
822.41,9.7836
823.41,9.7802
824.411,9.7775
825.41,9.7739
826.41,9.7711
827.41,9.7675
828.41,9.7642
829.41,9.7607
830.41,9.7572
831.41,9.7543
832.41,9.7513
833.41,9.7478
834.41,9.7442
835.41,9.7414
836.41,9.7382
837.41,9.7345
838.41,9.7316
839.41,9.7274
840.41,9.7245
841.41,9.7214
842.41,9.7183
843.41,9.7156
844.409,9.7125
845.41,9.7083
846.41,9.7051
847.41,9.7013
848.41,9.6985
849.41,9.6948
850.409,9.6919
851.41,9.688
852.41,9.685
853.41,9.6814
854.41,9.6784
855.41,9.675
856.411,9.6716
857.41,9.6673
858.41,9.6642
859.41,9.6612
860.41,9.658
861.41,9.654
862.411,9.6516
863.41,9.647
864.41,9.6444
865.41,9.6413
866.41,9.637
867.41,9.6335
868.41,9.6305
869.41,9.6261
870.41,9.6241
871.411,9.621
872.41,9.6172
873.41,9.6143
874.41,9.6109
875.41,9.6082
876.41,9.6042
877.41,9.6011
878.41,9.5966
879.41,9.5928
880.41,9.5891
881.41,9.5867
882.41,9.5822
883.41,9.5789
884.41,9.5753
885.41,9.5728
886.41,9.5678
887.41,9.5652
888.41,9.5619
889.41,9.5594
890.41,9.5558
891.41,9.5537
892.41,9.5494
893.41,9.5463
894.41,9.5429
895.41,9.5392
896.41,9.5362
897.41,9.533
898.41,9.5299
899.41,9.5265
900.41,9.5226
901.41,9.5206
902.41,9.517
903.41,9.5142
904.41,9.5099
905.41,9.5074
906.41,9.5052
907.41,9.5005
908.41,9.4977
909.41,9.4941
910.41,9.4907
911.41,9.4878
912.41,9.4854
913.41,9.4815
914.41,9.4786
915.41,9.4752
916.41,9.4727
917.41,9.4691
918.41,9.4652
919.41,9.4636
920.41,9.4599
921.41,9.4575
922.41,9.4548
923.41,9.4515
924.41,9.4489
925.41,9.4462
926.41,9.4433
927.41,9.4402
928.41,9.4355
929.41,9.4333
930.41,9.431
931.41,9.4269
932.41,9.424
933.41,9.4206
934.41,9.4165
935.41,9.4133
936.41,9.4098
937.41,9.4075
938.41,9.4028
939.41,9.4007
940.41,9.3972
941.409,9.3956
942.41,9.3907
943.41,9.3879
944.41,9.3846
945.41,9.381
946.41,9.3773
947.409,9.3747
948.41,9.3713
949.41,9.3672
950.41,9.3637
951.41,9.3623
952.41,9.3606
953.41,9.3535
954.411,9.354
955.41,9.3516
